id,net,status_abbrev,pad_name,mission_name,mission_orbit_abbrev,configuration_name,reused,launcher_serial_number,landing_location_abbrev,landing_type_abbrev,landing_attempt,landing_success,year,year_month,starlink_commercial
b3d0dafc-9b12-4c35-8ceb-3fa21802236f,2022-07-22 17:39:40,Success,Space Launch Complex 4E,Starlink Group 3-2,LEO,Falcon 9,[True],['B1071'],['OCISLY'],['ASDS'],[True],[True],2022,2022-07,Starlink
84f9bbdd-0e2c-468e-b1d0-73d640745c13,2022-07-17 14:20:00,Success,Space Launch Complex 40,Starlink Group 4-22,LEO,Falcon 9,[True],['B1051'],['JRTI'],['ASDS'],[True],[True],2022,2022-07,Starlink
2773613e-58eb-4b99-8120-595c92aa3390,2022-07-15 00:44:20,Success,Launch Complex 39A,Dragon CRS-2 SpX-25,LEO,Falcon 9,[True],['B1067'],['ASOG'],['ASDS'],[True],[True],2022,2022-07,Commercial
051c4c90-a89d-4a86-a77f-c7e22b9cb458,2022-07-11 01:39:40,Success,Space Launch Complex 4E,Starlink Group 3-1,LEO,Falcon 9,[True],['B1063'],['OCISLY'],['ASDS'],[True],[True],2022,2022-07,Starlink
ac4ce8e1-fd76-4654-8809-5500ba792a8a,2022-07-07 13:11:00,Success,Space Launch Complex 40,Starlink Group 4-21,LEO,Falcon 9,[True],['B1058'],['JRTI'],['ASDS'],[True],[True],2022,2022-07,Starlink
86a3010e-f8ef-4b64-a029-f4f92829772d,2022-06-29 21:04:00,Success,Space Launch Complex 40,SES-22,GTO,Falcon 9,[True],['B1073'],['ASOG'],['ASDS'],[True],[True],2022,2022-06,Commercial
33223258-614c-449c-8af7-a9f75cc036b2,2022-06-19 04:27:00,Success,Space Launch Complex 40,Globalstar-2 FM15 & USA 328-331,LEO,Falcon 9,[True],['B1061'],['JRTI'],['ASDS'],[True],[True],2022,2022-06,Commercial
4ca945f6-981f-4ee9-8a79-f1204b785f8c,2022-06-18 14:19:00,Success,Space Launch Complex 4E,SARah 1,SSO,Falcon 9,[True],['B1071'],['LZ-4'],['RTLS'],[True],[True],2022,2022-06,Commercial
179789f0-9380-4182-8ea2-676504c2f890,2022-06-17 16:09:20,Success,Launch Complex 39A,Starlink Group 4-19,LEO,Falcon 9,[True],['B1060'],['ASOG'],['ASDS'],[True],[True],2022,2022-06,Starlink
62fb58f6-1d43-4b24-862f-6ac5bee5f723,2022-06-08 21:04:00,Success,Space Launch Complex 40,Nilesat-301,Direct-GEO,Falcon 9,[True],['B1062'],['JRTI'],['ASDS'],[True],[True],2022,2022-06,Commercial
949421ac-3802-499b-b383-d8274de7e147,2022-05-25 18:35:00,Success,Space Launch Complex 40,Transporter 5 (Dedicated SSO Rideshare),SSO,Falcon 9,[True],['B1061'],['LZ-1'],['RTLS'],[True],[True],2022,2022-05,Commercial
27795b91-eb0e-43f1-898b-a23d9ff332db,2022-05-18 10:59:40,Success,Launch Complex 39A,Starlink Group 4-18,LEO,Falcon 9,[True],['B1052'],['ASOG'],['ASDS'],[True],[True],2022,2022-05,Starlink
b418d984-a9d1-4fa3-953d-c684a079714c,2022-05-14 20:40:50,Success,Space Launch Complex 40,Starlink Group 4-15,LEO,Falcon 9,[False],['B1073'],['JRTI'],['ASDS'],[True],[True],2022,2022-05,Starlink
0bc91464-1d61-4545-95c8-01040dc5eec9,2022-05-13 22:07:00,Success,Space Launch Complex 4E,Starlink Group 4-13,LEO,Falcon 9,[True],['B1063'],['OCISLY'],['ASDS'],[True],[True],2022,2022-05,Starlink
4f25c927-6a49-4472-814f-4f1a20d93604,2022-05-06 09:42:00,Success,Launch Complex 39A,Starlink Group 4-17,LEO,Falcon 9,[True],['B1058'],['ASOG'],['ASDS'],[True],[True],2022,2022-05,Starlink
b79a9332-4c0c-42a2-a59b-aafcd5d4721d,2022-04-29 21:27:10,Success,Space Launch Complex 40,Starlink Group 4-16,LEO,Falcon 9,[True],['B1062'],['JRTI'],['ASDS'],[True],[True],2022,2022-04,Starlink
d786d8fc-862b-45bf-8f7b-9ad862883f67,2022-04-27 07:52:55,Success,Launch Complex 39A,Crew-4,LEO,Falcon 9,[True],['B1067'],['ASOG'],['ASDS'],[True],[True],2022,2022-04,Commercial
2c5447d7-36c5-40fd-88de-47ed6b258bdb,2022-04-21 17:51:40,Success,Space Launch Complex 40,Starlink Group 4-14,LEO,Falcon 9,[True],['B1060'],['JRTI'],['ASDS'],[True],[True],2022,2022-04,Starlink
42932355-c450-4250-a885-2d2709fd7cfc,2022-04-17 13:13:12,Success,Space Launch Complex 4E,NROL-85,,Falcon 9,[True],['B1071'],['LZ-4'],['RTLS'],[True],[True],2022,2022-04,Commercial
a3eeb03b-a209-4255-91b5-772dc0d2150e,2022-04-08 15:17:11,Success,Launch Complex 39A,Axiom Space Mission 1,LEO,Falcon 9,[True],['B1062'],['ASOG'],['ASDS'],[True],[True],2022,2022-04,Commercial
335acce9-a35c-436c-9a22-a2505f20957f,2022-04-01 16:24:17,Success,Space Launch Complex 40,Transporter 4 (Dedicated SSO Rideshare),SSO,Falcon 9,[True],['B1061'],['JRTI'],['ASDS'],[True],[True],2022,2022-04,Commercial
72188aca-810d-40b9-887d-43040614dd2c,2022-03-19 04:42:30,Success,Space Launch Complex 40,Starlink Group 4-12,LEO,Falcon 9,[True],['B1051'],['JRTI'],['ASDS'],[True],[True],2022,2022-03,Starlink
